,Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter,Obj. LR,Time,QP,IR,AP
0,1500.0,0.01,1.0,3.0,0.0,0.49264,0.5968,3958.25253,9909.32182,4369.03752,0.49264,4204.0,4314.0,901.49791,5027.59923,0.0,1.0,57.59791,15.0,,,-4211.927,-5027.59923,-4536.43563
1,1500.0,0.01,2.0,3.0,0.0,0.49264,0.5968,3958.25253,9909.32182,4369.03752,0.49264,4204.0,4241.0,0.0,5027.59923,0.0,1.0,57.59791,15.0,,,-4211.927,-5027.59923,-4536.43563
2,1500.0,0.01,3.0,3.0,0.0,0.49264,0.5968,3958.25253,9909.32182,4369.03752,0.49264,4204.0,4317.0,1147.34791,5027.59923,0.0,1.0,57.59791,15.0,,,-4211.927,-5027.59923,-4536.43563
3,1500.0,0.01,4.0,3.0,0.0,0.49264,0.5968,3958.25253,9909.32182,4369.03752,0.49264,4204.0,4323.0,1083.99122,5027.59923,0.0,1.0,57.59791,15.0,,,-4211.927,-5027.59923,-4536.43563
4,1500.0,0.01,5.0,3.0,0.0,0.49264,0.5968,3958.25253,9909.32182,4369.03752,0.49264,4204.0,4247.0,50.0,5027.59923,0.0,1.0,57.59791,15.0,,,-4211.927,-5027.59923,-4536.43563
5,1500.0,0.01,6.0,3.0,0.0,0.49264,0.5968,3958.25253,9909.32182,4369.03752,0.49264,4204.0,4240.0,0.0,5027.59923,0.0,1.0,57.59791,15.0,,,-4211.927,-5027.59923,-4536.43563
