Unnamed: 0,Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,IR,AP
0,100.0,0.01,1.0,10.0,0.0,0.01167,0.00219,269.15581,272.43142,0.01167,70.0,928.0,4.82531,269.25283,-266.66242,-267.04224
1,100.0,0.01,2.0,10.0,0.0,0.01317,0.00219,269.15581,272.84552,0.01317,70.0,551.0,2.0202,269.25283,-266.66242,-267.04224
2,100.0,0.01,3.0,10.0,0.0,0.01153,0.00219,269.15581,272.39433,0.01153,70.0,875.0,4.94957,269.25283,-266.66242,-267.04224
3,100.0,0.01,4.0,10.0,0.0,0.01149,0.00219,269.15581,272.38126,0.01149,70.0,1006.0,4.90793,269.25283,-266.66242,-267.04224
4,100.0,0.01,5.0,10.0,0.0,0.01317,0.00219,269.15581,272.84552,0.01317,70.0,503.0,1.45142,269.25283,-266.66242,-267.04224
5,100.0,0.01,6.0,10.0,0.0,0.01185,0.00219,269.15581,272.48112,0.01185,70.0,1454.0,4.77903,269.25283,-266.66242,-267.04224
0,100.0,0.01,1.0,4.0,0.0,0.0004,0.0,278.53877,278.6509,0.0004,53.0,423.0,3.15282,278.53877,-270.31468,-272.91309
1,100.0,0.01,2.0,10.0,0.0,0.0015,0.0,278.53877,278.95848,0.0015,53.0,640.0,0.0,278.53877,-270.31468,-272.91309
2,100.0,0.01,3.0,3.0,0.0,0.00037,0.0,278.53877,278.6409,0.00037,53.0,330.0,3.12282,278.53877,-270.31468,-272.91309
3,100.0,0.01,4.0,3.0,0.0,0.00052,0.0,278.53877,278.68379,0.00052,53.0,352.0,3.18836,278.53877,-270.31468,-272.91309
4,100.0,0.01,5.0,5.0,1.0,0.0,0.0,278.53877,278.53877,0.0,53.0,397.0,3.28283,278.53877,-270.31468,-272.91309
5,100.0,0.01,6.0,3.0,0.0,0.00023,0.0,278.53877,278.60297,0.00023,53.0,316.0,3.55649,278.53877,-270.31468,-272.91309
0,100.0,0.01,1.0,10.0,0.0,0.00648,0.00532,273.28377,275.69421,0.00648,76.0,588.0,57.24116,273.90879,-269.37196,-272.26596
1,100.0,0.01,2.0,10.0,0.0,0.01121,0.00532,273.28377,277.01345,0.01121,76.0,603.0,0.0,273.90879,-269.37196,-272.26596
2,100.0,0.01,3.0,10.0,0.0,0.00637,0.00532,273.28377,275.66421,0.00637,76.0,471.0,43.08867,273.90879,-269.37196,-272.26596
3,100.0,0.01,4.0,10.0,0.0,0.0066,0.00532,273.28377,275.72975,0.0066,76.0,554.0,44.74152,273.90879,-269.37196,-272.26596
4,100.0,0.01,5.0,10.0,0.0,0.0085,0.00532,273.28377,276.25587,0.0085,76.0,531.0,1.95647,273.90879,-269.37196,-272.26596
5,100.0,0.01,6.0,10.0,0.0,0.00628,0.00532,273.28377,275.63919,0.00628,76.0,983.0,2.42281,273.90879,-269.37196,-272.26596
0,100.0,0.01,1.0,1.0,1.0,0.0,0.0,273.49889,273.49889,0.0,57.0,23.0,5.4163,273.49889,-269.86267,-271.54008
1,100.0,0.01,2.0,1.0,1.0,0.0,0.0,273.49889,273.49889,0.0,57.0,23.0,5.4163,273.49889,-269.86267,-271.54008
2,100.0,0.01,3.0,1.0,1.0,0.0,0.0,273.49889,273.49889,0.0,57.0,23.0,5.4163,273.49889,-269.86267,-271.54008
3,100.0,0.01,4.0,1.0,1.0,0.0,0.0,273.49889,273.49889,0.0,57.0,22.0,5.4163,273.49889,-269.86267,-271.54008
4,100.0,0.01,5.0,1.0,1.0,0.0,0.0,273.49889,273.49889,0.0,57.0,22.0,5.4163,273.49889,-269.86267,-271.54008
5,100.0,0.01,6.0,1.0,1.0,0.0,0.0,273.49889,273.49889,0.0,57.0,23.0,5.4163,273.49889,-269.86267,-271.54008
0,100.0,0.01,1.0,4.0,1.0,0.0,0.0,273.26863,273.26863,0.0,71.0,50.0,6.39918,273.26863,-269.98295,-271.68932
1,100.0,0.01,2.0,10.0,0.0,0.0063,0.0,273.26863,275.00119,0.0063,71.0,55.0,4.65918,273.26863,-269.98295,-271.68932
2,100.0,0.01,3.0,3.0,1.0,0.0,0.0,273.26863,273.26863,0.0,71.0,47.0,6.40918,273.26863,-269.98295,-271.68932
3,100.0,0.01,4.0,3.0,0.0,9e-05,0.0,273.26863,273.29408,9e-05,71.0,48.0,6.94363,273.26863,-269.98295,-271.68932
4,100.0,0.01,5.0,10.0,0.0,0.0063,0.0,273.26863,275.00119,0.0063,71.0,46.0,2.56253,273.26863,-269.98295,-271.68932
5,100.0,0.01,6.0,3.0,1.0,0.0,0.0,273.26863,273.26863,0.0,71.0,45.0,7.18513,273.26863,-269.98295,-271.68932
0,100.0,0.01,1.0,10.0,0.0,0.00589,0.00593,268.357,270.33339,0.00589,40.0,1311.0,4.95007,268.74007,-264.39309,-267.07456
1,100.0,0.01,2.0,10.0,0.0,0.00679,0.00593,268.357,270.57601,0.00679,40.0,785.0,0.0,268.74007,-264.39309,-267.07456
2,100.0,0.01,3.0,10.0,0.0,0.00599,0.00593,268.357,270.35877,0.00599,40.0,1309.0,4.30044,268.74007,-264.39309,-267.07456
3,100.0,0.01,4.0,10.0,0.0,0.006,0.00593,268.357,270.36122,0.006,40.0,1578.0,4.21126,268.74007,-264.39309,-267.07456
4,100.0,0.01,5.0,10.0,0.0,0.01146,0.00593,268.357,271.85511,0.01146,40.0,492.0,1.45142,268.74007,-264.39309,-267.07456
5,100.0,0.01,6.0,10.0,0.0,0.00641,0.00593,268.357,270.4738,0.00641,40.0,1434.0,3.69625,268.74007,-264.39309,-267.07456
0,100.0,0.01,1.0,1.0,1.0,0.0,0.0,280.63984,280.63984,0.0,48.0,22.0,4.34873,280.63984,-270.24847,-273.35295
1,100.0,0.01,2.0,1.0,1.0,0.0,0.0,280.63984,280.63984,0.0,48.0,21.0,4.34873,280.63984,-270.24847,-273.35295
2,100.0,0.01,3.0,1.0,1.0,0.0,0.0,280.63984,280.63984,0.0,48.0,21.0,4.34873,280.63984,-270.24847,-273.35295
3,100.0,0.01,4.0,1.0,1.0,0.0,0.0,280.63984,280.63984,0.0,48.0,22.0,4.34873,280.63984,-270.24847,-273.35295
4,100.0,0.01,5.0,1.0,1.0,0.0,0.0,280.63984,280.63984,0.0,48.0,22.0,4.34873,280.63984,-270.24847,-273.35295
5,100.0,0.01,6.0,1.0,1.0,0.0,0.0,280.63984,280.63984,0.0,48.0,22.0,4.34873,280.63984,-270.24847,-273.35295
0,100.0,0.01,1.0,1.0,1.0,0.0,0.0,277.79477,277.79477,0.0,72.0,25.0,4.27564,277.79477,-270.13388,-272.74033
1,100.0,0.01,2.0,1.0,1.0,0.0,0.0,277.79477,277.79477,0.0,72.0,24.0,4.27564,277.79477,-270.13388,-272.74033
2,100.0,0.01,3.0,1.0,1.0,0.0,0.0,277.79477,277.79477,0.0,72.0,24.0,4.27564,277.79477,-270.13388,-272.74033
3,100.0,0.01,4.0,1.0,1.0,0.0,0.0,277.79477,277.79477,0.0,72.0,23.0,4.27564,277.79477,-270.13388,-272.74033
4,100.0,0.01,5.0,1.0,1.0,0.0,0.0,277.79477,277.79477,0.0,72.0,24.0,4.27564,277.79477,-270.13388,-272.74033
5,100.0,0.01,6.0,1.0,1.0,0.0,0.0,277.79477,277.79477,0.0,72.0,24.0,4.27564,277.79477,-270.13388,-272.74033
0,100.0,0.01,1.0,10.0,0.0,0.00377,0.00229,268.85066,269.86895,0.00377,54.0,1282.0,4.36203,268.85066,-263.9495,-266.49385
1,100.0,0.01,2.0,10.0,0.0,0.00417,0.00229,268.85066,269.9768,0.00417,54.0,706.0,0.0,268.85066,-263.9495,-266.49385
2,100.0,0.01,3.0,10.0,0.0,0.0034,0.00229,268.85066,269.76895,0.0034,54.0,1184.0,3.97629,268.85066,-263.9495,-266.49385
3,100.0,0.01,4.0,10.0,0.0,0.00361,0.00229,268.85066,269.82528,0.00361,54.0,1500.0,3.88577,268.85066,-263.9495,-266.49385
4,100.0,0.01,5.0,10.0,0.0,0.00745,0.00229,268.85066,270.86734,0.00745,54.0,481.0,1.45142,268.85066,-263.9495,-266.49385
5,100.0,0.01,6.0,10.0,0.0,0.00612,0.00229,268.85066,270.5052,0.00612,54.0,657.0,4.25387,268.85066,-263.9495,-266.49385
0,100.0,0.01,1.0,4.0,0.0,0.0008,0.0,274.24654,274.46499,0.0008,82.0,516.0,4.22963,274.24654,-268.27592,-272.86883
1,100.0,0.01,2.0,10.0,0.0,0.00338,0.0,274.24654,275.17751,0.00338,82.0,640.0,0.0,274.24654,-268.27592,-272.86883
2,100.0,0.01,3.0,3.0,0.0,0.00087,0.0,274.24654,274.48499,0.00087,82.0,399.0,4.25963,274.24654,-268.27592,-272.86883
3,100.0,0.01,4.0,3.0,0.0,0.00056,0.0,274.24654,274.3992,0.00056,82.0,393.0,4.25723,274.24654,-268.27592,-272.86883
4,100.0,0.01,5.0,5.0,0.0,0.00063,0.0,274.24654,274.41993,0.00063,82.0,389.0,0.0,274.24654,-268.27592,-272.86883
5,100.0,0.01,6.0,5.0,0.0,0.00045,0.0,274.24654,274.36933,0.00045,82.0,464.0,2.98666,274.24654,-268.27592,-272.86883
0,100.0,0.01,1.0,10.0,0.0,0.00953,0.0,276.42693,277.23661,0.00292,84.0,553.0,56.49285,274.59463,-269.69076,-272.59161
1,100.0,0.01,2.0,10.0,0.0,0.01276,0.0,276.42693,278.14416,0.00617,84.0,640.0,0.0,274.59463,-269.69076,-272.59161
2,100.0,0.01,3.0,10.0,0.0,0.0101,0.0,276.42693,277.39661,0.0035,84.0,389.0,59.48322,274.59463,-269.69076,-272.59161
3,100.0,0.01,4.0,10.0,0.0,0.0101,0.0,276.42693,277.39661,0.0035,84.0,436.0,57.00688,274.59463,-269.69076,-272.59161
4,100.0,0.01,5.0,10.0,0.0,0.01007,0.0,276.42693,277.38658,0.00346,84.0,464.0,1.95647,274.59463,-269.69076,-272.59161
5,100.0,0.01,6.0,10.0,0.0,0.00801,0.0,276.42693,276.81259,0.00139,84.0,821.0,2.39693,274.59463,-269.69076,-272.59161
0,100.0,0.01,1.0,1.0,1.0,0.0,0.0,272.33364,272.33364,0.0,6.0,25.0,5.51565,272.33364,-266.66741,-265.7579
1,100.0,0.01,2.0,1.0,1.0,0.0,0.0,272.33364,272.33364,0.0,6.0,25.0,5.51565,272.33364,-266.66741,-265.7579
2,100.0,0.01,3.0,1.0,1.0,0.0,0.0,272.33364,272.33364,0.0,6.0,24.0,5.51565,272.33364,-266.66741,-265.7579
3,100.0,0.01,4.0,1.0,1.0,0.0,0.0,272.33364,272.33364,0.0,6.0,24.0,5.51565,272.33364,-266.66741,-265.7579
4,100.0,0.01,5.0,1.0,1.0,0.0,0.0,272.33364,272.33364,0.0,6.0,25.0,5.51565,272.33364,-266.66741,-265.7579
5,100.0,0.01,6.0,1.0,1.0,0.0,0.0,272.33364,272.33364,0.0,6.0,25.0,5.51565,272.33364,-266.66741,-265.7579
0,100.0,0.01,1.0,10.0,0.0,0.01091,0.00494,269.50212,273.59817,0.01091,174.0,1245.0,3.80948,270.61401,-266.78359,-267.16539
1,100.0,0.01,2.0,10.0,0.0,0.01149,0.00494,269.50212,273.76013,0.01149,174.0,542.0,2.0202,270.61401,-266.78359,-267.16539
2,100.0,0.01,3.0,10.0,0.0,0.01074,0.00494,269.50212,273.55126,0.01074,174.0,1105.0,4.56985,270.61401,-266.78359,-267.16539
3,100.0,0.01,4.0,10.0,0.0,0.01092,0.00494,269.50212,273.60063,0.01092,174.0,1286.0,4.69106,270.61401,-266.78359,-267.16539
4,100.0,0.01,5.0,10.0,0.0,0.01693,0.00494,269.50212,275.27528,0.01693,174.0,489.0,1.45142,270.61401,-266.78359,-267.16539
5,100.0,0.01,6.0,10.0,0.0,0.01046,0.00494,269.50212,273.47578,0.01046,174.0,1227.0,3.76712,270.61401,-266.78359,-267.16539
0,100.0,0.01,1.0,3.0,1.0,0.0,0.0,274.54436,274.54436,0.0,63.0,360.0,3.47049,274.54436,-270.12726,-268.24636
1,100.0,0.01,2.0,4.0,0.0,0.00089,0.0,274.54436,274.7881,0.00089,63.0,332.0,0.0,274.54436,-270.12726,-268.24636
2,100.0,0.01,3.0,2.0,1.0,0.0,0.0,274.54436,274.54436,0.0,63.0,292.0,3.63049,274.54436,-270.12726,-268.24636
3,100.0,0.01,4.0,2.0,1.0,0.0,0.0,274.54436,274.54436,0.0,63.0,317.0,3.63049,274.54436,-270.12726,-268.24636
4,100.0,0.01,5.0,5.0,1.0,0.0,0.0,274.54436,274.54436,0.0,63.0,388.0,3.28283,274.54436,-270.12726,-268.24636
5,100.0,0.01,6.0,3.0,1.0,0.0,0.0,274.54436,274.54436,0.0,63.0,472.0,3.14972,274.54436,-270.12726,-268.24636
0,100.0,0.01,1.0,10.0,0.0,0.01501,0.00244,267.6494,271.72716,0.01501,64.0,1072.0,5.94686,267.6494,-264.26688,-262.37739
1,100.0,0.01,2.0,10.0,0.0,0.01919,0.00244,267.6494,272.88716,0.01919,64.0,785.0,4.78686,267.6494,-264.26688,-262.37739
2,100.0,0.01,3.0,10.0,0.0,0.01473,0.00244,267.6494,271.65134,0.01473,64.0,857.0,6.27268,267.6494,-264.26688,-262.37739
3,100.0,0.01,4.0,10.0,0.0,0.01474,0.00244,267.6494,271.65412,0.01474,64.0,951.0,6.33614,267.6494,-264.26688,-262.37739
4,100.0,0.01,5.0,10.0,0.0,0.01919,0.00244,267.6494,272.88716,0.01919,64.0,378.0,2.56253,267.6494,-264.26688,-262.37739
5,100.0,0.01,6.0,10.0,0.0,0.01471,0.00244,267.6494,271.64407,0.01471,64.0,1343.0,5.8193,267.6494,-264.26688,-262.37739
0,100.0,0.01,1.0,10.0,0.0,0.01125,0.0,268.45136,271.50588,0.01125,63.0,1263.0,4.62459,268.45136,-263.96491,-265.66884
1,100.0,0.01,2.0,10.0,0.0,0.01127,0.0,268.45136,271.51007,0.01127,63.0,834.0,204.0404,268.45136,-263.96491,-265.66884
2,100.0,0.01,3.0,10.0,0.0,0.01061,0.0,268.45136,271.32897,0.01061,63.0,1063.0,4.24423,268.45136,-263.96491,-265.66884
3,100.0,0.01,4.0,10.0,0.0,0.01062,0.0,268.45136,271.33226,0.01062,63.0,1104.0,4.23532,268.45136,-263.96491,-265.66884
4,100.0,0.01,5.0,10.0,0.0,0.01612,0.0,268.45136,272.85068,0.01612,63.0,484.0,1.45142,268.45136,-263.96491,-265.66884
5,100.0,0.01,6.0,10.0,0.0,0.01091,0.0,268.45136,271.41129,0.01091,63.0,1156.0,4.00149,268.45136,-263.96491,-265.66884
0,100.0,0.01,1.0,10.0,0.0,0.00456,0.0,269.93166,271.16686,0.00456,75.0,677.0,57.55178,269.93166,-266.39402,-266.74167
1,100.0,0.01,2.0,10.0,0.0,0.00824,0.0,269.93166,272.17549,0.00824,75.0,758.0,0.0,269.93166,-266.39402,-266.74167
2,100.0,0.01,3.0,10.0,0.0,0.00444,0.0,269.93166,271.13686,0.00444,75.0,582.0,43.39929,269.93166,-266.39402,-266.74167
3,100.0,0.01,4.0,10.0,0.0,0.00469,0.0,269.93166,271.20241,0.00469,75.0,675.0,45.05214,269.93166,-266.39402,-266.74167
4,100.0,0.01,5.0,10.0,0.0,0.00548,0.0,269.93166,271.41791,0.00548,75.0,507.0,1.95647,269.93166,-266.39402,-266.74167
5,100.0,0.01,6.0,10.0,0.0,0.00359,0.0,269.93166,270.90457,0.00359,75.0,1264.0,2.63267,269.93166,-266.39402,-266.74167
0,100.0,0.01,1.0,2.0,1.0,0.0,0.0,275.6473,275.6473,0.0,85.0,264.0,4.24706,275.6473,-269.4459,-273.03967
1,100.0,0.01,2.0,4.0,1.0,0.0,0.0,275.6473,275.6473,0.0,85.0,346.0,4.0404,275.6473,-269.4459,-273.03967
2,100.0,0.01,3.0,2.0,1.0,0.0,0.0,275.6473,275.6473,0.0,85.0,287.0,3.82706,275.6473,-269.4459,-273.03967
3,100.0,0.01,4.0,2.0,1.0,0.0,0.0,275.6473,275.6473,0.0,85.0,293.0,3.82706,275.6473,-269.4459,-273.03967
4,100.0,0.01,5.0,5.0,1.0,0.0,0.0,275.6473,275.6473,0.0,85.0,411.0,3.28283,275.6473,-269.4459,-273.03967
5,100.0,0.01,6.0,2.0,1.0,0.0,0.0,275.6473,275.6473,0.0,85.0,281.0,4.22191,275.6473,-269.4459,-273.03967
0,100.0,0.01,1.0,10.0,0.0,0.01099,0.0,278.13221,279.67056,0.0055,89.0,463.0,56.58256,276.5979,-274.77154,-273.30259
1,100.0,0.01,2.0,10.0,0.0,0.01387,0.0,278.13221,280.4884,0.0084,89.0,545.0,0.0,276.5979,-274.77154,-273.30259
2,100.0,0.01,3.0,10.0,0.0,0.01155,0.0,278.13221,279.83056,0.00607,89.0,383.0,59.57293,276.5979,-274.77154,-273.30259
