Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter
600.0,0.01,3.0,2.0,0.0,0.47919,0.50645,4592.42195,9578.07997,5073.68297,0.47919,4201.0,4203.0,134.12611,4988.31428,0.0,1.0,144.62611,6.0
600.0,0.01,4.0,2.0,0.0,0.47919,0.50645,4592.42195,9578.07997,5073.68297,0.47919,4201.0,4202.0,134.38347,4988.31428,0.0,1.0,144.62611,6.0
600.0,0.01,5.0,3.0,0.0,0.47857,0.50645,4592.42195,9566.6574,5175.06911,0.47857,4201.0,4208.0,50.0,4988.31428,0.0,3.0,150.0,6.0
600.0,0.01,6.0,3.0,0.0,0.47919,0.50645,4592.42195,9578.07997,5073.68297,0.47919,4201.0,4209.0,0.0,4988.31428,0.0,1.0,144.62611,6.0
600.0,0.05,1.0,2.0,0.0,0.58047,0.66476,4207.90155,12855.39121,10806.43133,0.58047,4201.0,4203.0,444.83563,5393.15922,0.0,1.0,131.63563,-570.0
600.0,0.05,2.0,2.0,0.0,0.58047,0.66476,4207.90155,12855.39121,10806.43133,0.58047,4201.0,4202.0,131.63563,5393.15922,0.0,1.0,131.63563,-570.0
600.0,0.05,3.0,2.0,0.0,0.58047,0.66476,4207.90155,12855.39121,10806.43133,0.58047,4201.0,4203.0,679.13563,5393.15922,0.0,1.0,131.63563,-570.0
600.0,0.05,4.0,2.0,0.0,0.58047,0.66476,4207.90155,12855.39121,10806.43133,0.58047,4201.0,4202.0,680.42242,5393.15922,0.0,1.0,131.63563,-570.0
600.0,0.05,5.0,2.0,0.0,0.58047,0.66476,4207.90155,12855.39121,10806.43133,0.58047,4201.0,4202.0,281.63563,5393.15922,0.0,1.0,131.63563,-570.0
600.0,0.05,6.0,2.0,0.0,0.58047,0.66476,4207.90155,12855.39121,10806.43133,0.58047,4201.0,4201.0,0.0,5393.15922,0.0,1.0,131.63563,-570.0
600.0,0.05,1.0,2.0,0.0,0.56609,0.6288,4642.92262,12815.87333,10257.32179,0.56609,4201.0,4203.0,445.89199,5560.98322,0.0,1.0,132.69199,-570.0
600.0,0.05,2.0,2.0,0.0,0.56609,0.6288,4642.92262,12815.87333,10257.32179,0.56609,4201.0,4201.0,132.69199,5560.98322,0.0,1.0,132.69199,-570.0
600.0,0.05,3.0,2.0,0.0,0.56609,0.6288,4642.92262,12815.87333,10257.32179,0.56609,4201.0,4201.0,680.19199,5560.98322,0.0,1.0,132.69199,-570.0
600.0,0.05,4.0,2.0,0.0,0.56609,0.6288,4642.92262,12815.87333,10257.32179,0.56609,4201.0,4201.0,681.47879,5560.98322,0.0,1.0,132.69199,-570.0
600.0,0.05,5.0,2.0,0.0,0.56609,0.6288,4642.92262,12815.87333,10257.32179,0.56609,4201.0,4202.0,282.69199,5560.98322,0.0,1.0,132.69199,-570.0
600.0,0.05,6.0,2.0,0.0,0.56609,0.6288,4642.92262,12815.87333,10257.32179,0.56609,4201.0,4203.0,0.0,5560.98322,0.0,1.0,132.69199,-570.0
600.0,0.05,1.0,2.0,0.0,0.56305,0.62067,4755.1837,12817.07746,10556.44339,0.56305,4201.0,4203.0,445.41494,5600.4193,0.0,1.0,132.21494,-570.0
600.0,0.05,2.0,2.0,0.0,0.56305,0.62067,4755.1837,12817.07746,10556.44339,0.56305,4201.0,4202.0,132.21494,5600.4193,0.0,1.0,132.21494,-570.0
600.0,0.05,3.0,2.0,0.0,0.56305,0.62067,4755.1837,12817.07746,10556.44339,0.56305,4201.0,4203.0,679.71494,5600.4193,0.0,1.0,132.21494,-570.0
600.0,0.05,4.0,2.0,0.0,0.56305,0.62067,4755.1837,12817.07746,10556.44339,0.56305,4201.0,4203.0,681.00174,5600.4193,0.0,1.0,132.21494,-570.0
600.0,0.05,5.0,2.0,0.0,0.56305,0.62067,4755.1837,12817.07746,10556.44339,0.56305,4201.0,4204.0,282.21494,5600.4193,0.0,1.0,132.21494,-570.0
600.0,0.05,6.0,2.0,0.0,0.56305,0.62067,4755.1837,12817.07746,10556.44339,0.56305,4201.0,4203.0,0.0,5600.4193,0.0,1.0,132.21494,-570.0
600.0,0.05,1.0,2.0,0.0,0.57094,0.60757,4896.95611,12784.15024,10605.64082,0.57094,4201.0,4202.0,445.25624,5485.1748,0.0,1.0,132.05624,-570.0
600.0,0.05,2.0,2.0,0.0,0.57094,0.60757,4896.95611,12784.15024,10605.64082,0.57094,4201.0,4201.0,132.05624,5485.1748,0.0,1.0,132.05624,-570.0
600.0,0.05,3.0,2.0,0.0,0.57094,0.60757,4896.95611,12784.15024,10605.64082,0.57094,4201.0,4201.0,679.55624,5485.1748,0.0,1.0,132.05624,-570.0
600.0,0.05,4.0,2.0,0.0,0.57094,0.60757,4896.95611,12784.15024,10605.64082,0.57094,4201.0,4201.0,680.84303,5485.1748,0.0,1.0,132.05624,-570.0
600.0,0.05,5.0,2.0,0.0,0.57094,0.60757,4896.95611,12784.15024,10605.64082,0.57094,4201.0,4202.0,282.05624,5485.1748,0.0,1.0,132.05624,-570.0
600.0,0.05,6.0,2.0,0.0,0.57094,0.60757,4896.95611,12784.15024,10605.64082,0.57094,4201.0,4201.0,0.0,5485.1748,0.0,1.0,132.05624,-570.0
600.0,0.05,1.0,2.0,0.0,0.5859,0.6461,4406.58538,12739.69431,10382.27524,0.5859,4201.0,4202.0,445.31025,5275.44663,0.0,1.0,132.11025,-570.0
600.0,0.05,2.0,2.0,0.0,0.58643,0.6461,4406.58538,12755.82035,10382.27524,0.58643,4201.0,4201.0,132.11025,5275.44663,0.0,1.0,132.11025,-570.0
600.0,0.05,3.0,2.0,0.0,0.5859,0.6461,4406.58538,12739.69431,10382.27524,0.5859,4201.0,4202.0,679.61025,5275.44663,0.0,1.0,132.11025,-570.0
