,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30
t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0
t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0
t3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0
t4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0
t5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0
t6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0
t7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0
t8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.000,5.000,5
t9,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.74,42.740,42.740,42.74
t10,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.060,622.060,622.06
t11,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618,684.618
t12,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.230,801.230,801.23
t13,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,992.34,992.34,992.34,984.968,984.968,984.968,984.9,984.9
t14,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1044.96,1032.356,1032.356,1032.356,1032.356
t15,944.03,944.03,944.03,944.03,944.03,944.03,944.03,944.03,944.03,944.03,944.03,944.03,944.03,944.03,944.03,944.03,944.03,944.03,944.03,944.03,944.03,944.03,944.03,944.03,938.252,938.252,938.252,938.252,938.252,938.252
t16,930.21,930.21,930.21,930.21,930.21,930.21,930.21,930.21,930.21,930.21,930.21,930.21,930.21,930.21,930.21,930.21,930.21,930.21,930.21,926.035,926.035,926.035,926.035,926.035,926.035,913.185,913.185,913.185,913.185,913.185
t17,788.62,788.62,788.62,788.62,788.62,788.62,788.62,788.62,788.62,788.62,788.62,788.62,788.62,788.62,788.62,788.62,788.62,788.62,788.62,788.62,788.62,788.62,788.62,788.62,761.78,761.78,761.78,761.780,761.780,761.78
t18,867.3,867.3,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,829.33,829.33,829.33,829.33,829.285,829.285,829.285,829.285,829.285,826.94
t19,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.31,181.310,181.310,181.31
t20,136.25,136.25,136.25,136.25,136.25,136.25,136.25,136.25,136.25,136.25,136.25,136.25,136.25,136.25,136.25,136.25,136.25,136.25,136.25,126.875,126.875,126.875,126.875,126.875,126.875,126.875,126.875,126.875,126.875,126.875
t21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0
t22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0
t23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0
t24,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480.000,480.000,480
