 ,value
scen1,0.05
scen2,0.05
scen3,0.05
scen4,0.05
scen5,0.05
scen6,0.05
scen7,0.05
scen8,0.05
scen9,0.05
scen10,0.05
scen11,0.05
scen12,0.05
scen13,0.05
scen14,0.05
scen15,0.05
scen16,0.05
scen17,0.05
scen18,0.05
scen19,0.05
scen20,0.05
scen21,0.045455
scen22,0.045455
scen23,0.045455
scen24,0.045455
scen25,0.045455
scen26,0.045455
scen27,0.045455
scen28,0.045455
scen29,0.045455
scen30,0.045455
scen31,0.045455
scen32,0.045455
scen33,0.045455
scen34,0.045455
scen35,0.045455
scen36,0.045455
scen37,0.045455
scen38,0.045455
scen39,0.045455
scen40,0.045455
scen41,0.045455
scen42,0.045455
scen43,0.04
scen44,0.04
scen45,0.04
scen46,0.04
scen47,0.04
scen48,0.04
scen49,0.04
scen50,0.04
scen51,0.04
scen52,0.04
scen53,0.04
scen54,0.04
scen55,0.04
scen56,0.04
scen57,0.04
scen58,0.04
scen59,0.04
scen60,0.04
scen61,0.04
scen62,0.04
scen63,0.04
scen64,0.04
scen65,0.04
scen66,0.04
scen67,0.04
scen68,0.035714
scen69,0.035714
scen70,0.035714
scen71,0.035714
scen72,0.035714
scen73,0.035714
scen74,0.035714
scen75,0.035714
scen76,0.035714
scen77,0.035714
scen78,0.035714
scen79,0.035714
scen80,0.035714
scen81,0.035714
scen82,0.035714
scen83,0.035714
scen84,0.035714
scen85,0.035714
scen86,0.035714
scen87,0.035714
scen88,0.035714
scen89,0.035714
scen90,0.035714
scen91,0.035714
scen92,0.035714
scen93,0.035714
scen94,0.035714
scen95,0.035714
scen96,0.032258
scen97,0.032258
scen98,0.032258
scen99,0.032258
scen100,0.032258
scen101,0.032258
scen102,0.032258
scen103,0.032258
scen104,0.032258
scen105,0.032258
scen106,0.032258
scen107,0.032258
scen108,0.032258
scen109,0.032258
scen110,0.032258
scen111,0.032258
scen112,0.032258
scen113,0.032258
scen114,0.032258
scen115,0.032258
scen116,0.032258
scen117,0.032258
scen118,0.032258
scen119,0.032258
scen120,0.032258
scen121,0.032258
scen122,0.032258
scen123,0.032258
scen124,0.032258
scen125,0.032258
scen126,0.032258
scen127,0.028571
scen128,0.028571
scen129,0.028571
scen130,0.028571
scen131,0.028571
scen132,0.028571
scen133,0.028571
scen134,0.028571
scen135,0.028571
